Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Gunsmoke-J4	Gunsmoke-J4	USA	Department of Defense/Army Space and Missile Defense Command	Military	Earth Observation		LEO	0	494	521	0.0019629225736095966	69.6	96	4	2021-06-29T22:00:00Z		U.S. Army's Space and Missile Defense Command/TSEPT	USA	Virgin Orbit	LauncherOne	Demonstrate how small satellites can respond to Army requirements, such as providing tactical imagery and data to battlefield commanders.
Hainan-1-01	Hainan-1-01	China	Sanya Institute of Remote Sensing	Government	Earth Observation	Maritime Observation	LEO	0	527	551	0.0017368649587494573	97.5	96	55	2022-02-26T23:00:00Z		Shenzhen Aerospace Dongfanghong Satellite Co. Ltd.	China	Wenchang Space Center	Long March 8	Designed to "reinforce national sovereignty" over the South China Sea and other disputed territories.
Hainan-1-02	Hainan-1-02	China	Sanya Institute of Remote Sensing	Government	Earth Observation	Maritime Observation	LEO	0	527	550	0.0016646160526887167	97.5	96	65	2022-02-26T23:00:00Z		Shenzhen Aerospace Dongfanghong Satellite Co. Ltd.	China	Wenchang Space Center	Long March 8	
Haisi-2	Haisi-2	China	Xiamen University/Aerospace Dongfanghong Satellite Co. Ltd. {CASC)	Government/Civil	Earth Observation	Earth Science	LEO	0	487	502	0.0010925777551169058	97.5	95.2		2021-06-10T22:00:00Z		Aerospace Dongfanghong Satellite Co. Ltd. (CASC)	China	Taiyuan Launch Center	Long March 2D	Built in cooperation with Xiamen University. Tasked with collecting imagery of shallow coastal waters and inland water bodies
Haiyang 1C (HY 1C)	Haiyang 1C	China	State Oceanic Administration (SOA)	Government	Earth Observation	Meteorology	LEO	0	769	786	0.0011892270024484086	98.6	100.4	442	2018-09-06T22:00:00Z		China Academy of Space Technology (CAST)	China	Taiyuan Launch Center	Long March 2C	Ocean-imaging surveillance satellite.
Haiyang 1D (HY 1D)	Haiyang 1D	China	State Oceanic Administration (SOA)	Government	Earth Observation	Meteorology	LEO	0	770	785	0.001049317943336831	98.4	100.4	442	2020-06-09T22:00:00Z		DFH Satellite Co. Ltd.	China	Taiyuan Launch Center	Long March 2C	Ocean-imaging surveillance satellite.
Haiyang 2A (HY 2A)	Haiyang 2A	China	State Oceanic Administration (SOA)	Government	Earth Observation	Meteorology	LEO	0	965	967	1.3631406761177754E-4	99.4	104.4	1500	2011-08-14T22:00:00Z	3	China Academy of Space Technology (CAST)	China	Taiyuan Launch Center	Long March 4B	Ocean-imaging surveillance satellite.
Haiyang 2B (HY 2B)	Haiyang 2B	China	State Oceanic Administration (SOA)	Government	Earth Observation	Earth Science	LEO	0	949	957	5.462242250443807E-4	99.3	104.1	1500	2018-10-23T22:00:00Z	3	China Academy of Space Technology (CAST)	China	Taiyuan Launch Center	Long March 4B	HY surveillance of satellites h LEO.
Haiyang 2C (HY 2C)	Haiyang 2C	China	State Oceanic Administration (SOA)	Government	Earth Observation	Earth Science	LEO	0	930	949	0.001299678500581435	66	104	1500	2020-09-20T22:00:00Z		China Academy of Space Technology (CAST)	China	Jiuquan Satellite Launch Center	Long March 4B	Carries a radar altimeter and microwave scatterometer to measure the height of waves and monitor maritime wind field. The spacecraft also carries a payload to track ships and a data collection system to relay measurements from ocean buoys to forecast centers and other users.
Haiyang 2D (HY 2D)	Haiyang 2D	China	State Oceanic Administration (SOA)	Government	Earth Observation	Earth Science	LEO	0	927	951	0.0016418114653167328	66	104	1500	2021-05-18T22:00:00Z		China Academy of Space Technology (CAST)	China	Jiuquan Satellite Launch Center	Long March 4B	Will collect data on sea surface height, wave height, and maritime wind fields
Halo-NET Free Flyer	Halo-NET Free Flyer	USA	Department of Defense/Space Test Program	Military	Communications	Optical Imaging	LEO	0	494	521	0.0019629225736095966	60.7	94.5	4	2021-06-29T22:00:00Z		Unknown	USA	Virgin Orbit	LauncherOne	Test the survivability and reflectivity of a retroreflector array
Hangsheng 1	Hangsheng 1	China	Hunan Hangsheng Satellite Technology Co., Ltd.	Commercial	Technology Development		LEO	0	495	508	9.45936112930219E-4	97.4	94.7	37	2021-04-26T22:00:00Z		Hunan Hangsheng Satellite Technology Co., Ltd.	China	Taiyuan Launch Center	Long March 6	Optical remote sensing.
Harbinger	Harbinger	USA	US Army Space and Missile Defense Command	Military	Technology Development	Radar Imaging	LEO	0	498	510	8.728542333430317E-4	40.02	94.7	150	2019-05-04T22:00:00Z		York Space Systems	USA	Rocket Lab Launch Complex 1	Electron	Synthetic aperture radar for all-weather Earth observation and a high-data-rate communications link to transmit the radar imagery to users on the ground.
Hawk-2A (HawkEye 360 2A)	Hawk-2A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	526	535	6.521266574885878E-4	97.5	95.2	15	2021-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-2B (HawkEye 360 2B)	Hawk-2B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	526	535	6.521266574885878E-4	97.5	95.2	15	2021-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-2C (HawkEye 360 2C)	Hawk-2C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	525	535	7.246376811594203E-4	97.5	95.2	15	2021-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-3A (HawkEye 360 3A)	Hawk-3A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	513	534	0.00152317400449699	97.5	95.2	15	2021-06-29T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-3B (HawkEye 360 3B)	Hawk-3B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	512	535	0.0016682381954014652	97.5	95.2	15	2021-06-29T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-3C (HawkEye 360 3C)	Hawk-3C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	512	535	0.0016682381954014652	97.5	95.2	15	2021-06-29T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9/Sherpa FX	HawkEye surveillance of satellites in LEO.
Hawk-4A (HawkEye 360 4A)	Hawk-4A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	497	509	8.729812309035355E-4	97.4	95	15	2022-03-31T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9	
Hawk-4B (HawkEye 360 4B)	Hawk-4B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	497	509	8.729812309035355E-4	97.4	95	15	2022-03-31T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9	
Hawk-4C (HawkEye 360 4C)	Hawk-4C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	494	509	0.0010914647456887142	97.4	95	15	2022-03-31T22:00:00Z		Unitas SFL/HawkEye 360	USA	Cape Canaveral	Falcon 9	
Hawk-6A (HawkEye 360 6A)	Hawk-6A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	549	552	2.1674734484502565E-4	40.5	94.7	31	2023-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Mid-Atlantic Regional Spaceport/Wallops Island	Electron	
Hawk-6B (HawkEye 360 6B)	Hawk-6B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	549	551	1.4450867052023122E-4	40.5	94.7	31	2023-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Mid-Atlantic Regional Spaceport/Wallops Island	Electron	
Hawk-6C (HawkEye 360 6C)	Hawk-6C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	549	550	7.225955632632416E-5	40.5	94.7	31	2023-01-23T23:00:00Z		Unitas SFL/HawkEye 360	USA	Mid-Atlantic Regional Spaceport/Wallops Island	Electron	
Hawk-7A	Hawk-7A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	518	528	7.253735673872045E-4	97.4	94.9	31	2023-04-14T22:00:00Z		Unitas SFL/HawkEye 360	USA	Vandenberg AFB	Falcon 9	
Hawk-7B	Hawk-7B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	494	507	9.46073793755913E-4	97.4	94.9	31	2023-04-14T22:00:00Z		Unitas SFL/HawkEye 360	USA	Vandenberg AFB	Falcon 9	
Hawk-7C	Hawk-7C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	492	507	0.001091782516922629	97.4	94.9	31	2023-04-14T22:00:00Z		Unitas SFL/HawkEye 360	USA	Vandenberg AFB	Falcon 9	
Hawk-A (HawkEye 360 Pathfinder 1)	Hawk-A	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	577	590	9.347810455166463E-4	97.7	96.3	15	2018-12-02T23:00:00Z		GomSpace/Unitas SFL	Denmark/Canada	Vandenberg AFB	Falcon 9	Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
Hawk-B (HawkEye 360 Pathfinder 2)	Hawk-B	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	577	590	9.347810455166463E-4	97.7	96.3	15	2018-12-02T23:00:00Z		GomSpace/Unitas SFL	Denmark/Canada	Vandenberg AFB	Falcon 9	Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
Hawk-C (HawkEye 360 Pathfinder 3)	Hawk-C	USA	HawkEye 360	Commercial	Surveillance	Electronic Intelligence	LEO	0	574	592	0.0012944052926794189	97.7	96.3	15	2018-12-02T23:00:00Z		GomSpace/Unitas SFL	Denmark/Canada	Vandenberg AFB	Falcon 9	Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
HEAD-1	HEAD-1	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	796	809	9.062391077030325E-4	98.6	100.9	45	2017-11-13T23:00:00Z	3	Shanghai Academy of Spaceflight Technology (SAST)	China	Taiyuan Launch Center	Long March 4C	Pathfinder for 30-satellite Skywalker constellation - AIS equipped.
HEAD-2A	HEAD-2A	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	495	511	0.0011639749745380474	97.3	94.6	45	2019-12-06T23:00:00Z		HEAD Aerospace	China	Taiyuan Launch Center	Kuaizhou 1A	First two spacecraft in HEAD Aerospace Skywalker constellation.
HEAD-2B	HEAD-2B	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	495	511	0.0011639749745380474	97.3	94.6	45	2019-12-06T23:00:00Z		HEAD Aerospace	China	Taiyuan Launch Center	Kuaizhou 1A	
HEAD-2E	HEAD-2E	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	503	522	0.0013803123864874682	97.3	94.6	45	2021-10-13T22:00:00Z		HEAD Aerospace	China	Taiyuan Launch Center	Long March 4D	
HEAD-2F	HEAD-2F	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	502	522	0.0014530659691950015	97.3	94.6	45	2021-10-13T22:00:00Z		HEAD Aerospace	China	Taiyuan Launch Center	Long March 2D	
HEAD-4	HEAD-4	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	487	502	0.0010925777551169058	97.3	94.5	45	2020-05-30T22:00:00Z		HEAD Aerospace	China	Jiuquan Satellite Launch Center	Long March 2D	
HEAD-5	HEAD-5	China	HEAD Aerospace	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	485	502	0.0012384352006993516	97.3	94.5	45	2020-06-16T22:00:00Z		HEAD Aerospace	China	Jiuquan Satellite Launch Center	Long March 2D	
Helios 2A	Helios 2A	France/Italy/Belgium/Spain/Greece	Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA)	Military	Earth Observation	Optical Imaging	LEO	0	681	683	1.4180374361883155E-4	98.1	98	4200	2004-12-17T23:00:00Z	5	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5G	Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).
Helios 2B	Helios 2B	France/Italy/Belgium/Spain/Greece	Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA)	Military	Earth Observation	Optical Imaging	LEO	0	679	682	2.12750868732714E-4	98.1	98.37	4200	2009-12-17T23:00:00Z	5	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5	Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).
Hellas-Sat 2 (Intelsat K-TV, NSS K-TV)	HellasSat-2	Greece	Hellas-Sat Consortium Ltd.	Commercial	Communications		GEO	39.06	35769	35803	4.032640667995066E-4	0.01	1436.08	3300	2003-05-11T22:00:00Z	15	Astrium	France/UK/Germany	Cape Canaveral	Atlas 5	30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.
Hellas-Sat 3/INMARSAT S EAN	HellasSat-3	Greece/United Kingdom	Hellas-Sat Consortium Ltd./INMARSAT	Commercial	Communications		GEO	39	35685	35788	0.001223089071758517	0	1436.1	5780	2017-06-27T22:00:00Z	15	Thales Alenia Space	France/Italy	Guiana Space Center	Ariane 5	Direct-to-home television programming over Europe, Africa and the Middle East with 44 Ku-band transponders and a Ka-band payload owned by Hellas-Sat; S-band payload will connect airline passengers traveling across Europe with Wi-Fi as part of Inmarsat's European Aviation Network.
Hellas-Sat 4/SGS-1 (Saudi Geostationary Satellite 1)	Hellas-Sat 4	Greece	Hellas-Sat Consortium Ltd.	Commercial/Government	Communications		GEO	39	35785	35785	0	0.01	1436.1	6495	2019-02-04T23:00:00Z	15	Lockheed Martin Missiles & Space	USA	Guiana Space Center	Ariane 5	Will provide Ka-band broadband Internet connectivity and other telecom services across Saudi Arabia and neighboring countries, including secure military communications for nations in the Gulf Cooperative Council. Ku-band for Europe and Middle East.
Hibari	Hibari	Japan	Tokyo Institute of Technology	Civil	Technology Demonstration		LEO	0	548	572	0.0017316017316017316	97.6	96	55	2021-11-07T23:00:00Z		Tokyo Institute of Technology	Japan	Uchinoura Space Center	H2A	Will test a method of attitude control, or pointing, using the variable shape of its solar array wings.
Hiber-1	Hiber-1	Netherlands	Hiber Global	Commercial	Technology Development		LEO	0	476	500	0.0017497812773403325	97.5	95	4	2018-11-28T23:00:00Z		Hiber Global	Netherlands	Satish Dhawan Space Centre	PSLV	
Hiber-2	Hiber-2	Netherlands	Hiber Global	Commercial	Technology Development		LEO	0	575	591	0.0011505824823817058	97.7	96.3	7	2018-12-02T23:00:00Z		Hiber Global	Netherlands	Vandenberg AFB	Falcon 9	Test the IoT/M2M service. Part of 12/3/2019 SSO-A flight.
Hiber-3	Hiber-3	Netherlands	Hiber Global	Commercial	Technology Development		LEO	0	534	559	0.0018072724643967324	97.5	95.5	4	2021-03-21T23:00:00Z		Hiber Global	Netherlands	Baikonur Cosmodrome	Soyuz-2.1b	Provision of satellite connectivity to "internet-of-things" (IOT) devices.
Hiber-4	Hiber-4	Netherlands	Hiber Global	Commercial	Technology Development		LEO	0	523	535	8.69691259602841E-4	97.5	95.2	3	2021-01-23T23:00:00Z		Hiber Global	Netherlands	Cape Canaveral	Falcon 9	
Himawari 8	Himawari 8	Japan	Japan Meteorological Agency/Meteorological Satellite Center (MSC)	Government	Earth Observation	Meteorology	GEO	140	35774	35797	2.7279951607738016E-4	0.08	1436.06	3500	2014-10-06T22:00:00Z	8	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Equipped with highly improved Advanced Himawari Imagers (AHIs).
Himawari 9	Himawari 9	Japan	Japan Meteorological Agency/Meteorological Satellite Center (MSC)	Government	Earth Observation	Meteorology	GEO	140	35788	35799	1.304445788418893E-4	0	1436.1	3500	2016-11-01T23:00:00Z	8	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Equipped with highly improved Advanced Himawari Imagers (AHIs).
Hinode (Solar B)	Hinode	Multinational	Institute of Space and Aeronautical Science/NASA	Government	Space Science		LEO	0	670	696	0.0018431872961860202	98.1	98.4	700	2006-10-21T22:00:00Z	3	Institute of Space and Aeronautical Science, University of Tokyo/NASA	Japan/UK/Germany	Uchinoura Space Center	JAXA M-V	
Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)	Hisaki	Japan	Japan Aerospace Exploration Agency (JAXA)	Government	Space Science		Elliptical	0	952	1155	0.013672795851013672	31	106.27	348	2013-09-13T22:00:00Z	1	NEC Corporation	Japan	Uchinoura Space Center	Epsilon	Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.
Hisea-1 (TY-MINISAR-1)	Hisea-1	China	Spacety	Commercial	Earth Observation	Radar Imaging	LEO	0	502	511	6.544026757798299E-4	97.4	94.8	180	2020-12-21T23:00:00Z		Spacety	China	Wenchang Space Center	Long March 8	MINISAR surveillance of satellites r LEO.
Hispasat 1D	Hispasat 1D	Spain	Hispasat	Government/Commercial/Military	Communications		GEO	-29.95	35764	35809	5.337255227544981E-4	0.02	1436.11	3288	2002-09-17T22:00:00Z	15	Alcatel Space Industries	France	Cape Canaveral	Atlas 2AS	Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders.
Hispasat 1E	Hispasat 1E	Spain	Hispasat	Commercial	Communications		GEO	-30	35782	35786	4.744508231721782E-5	0.07	1435.95	5320	2010-12-28T23:00:00Z	15	Space Systems/Loral	USA	Guiana Space Center	Ariane 5	63 Ku-band transponders and a Ka-band capability.
Hispasat 30W-6 (Hispasat 1F)	Hispasat 30W-6	Spain	Hispasat	Commercial	Communications		GEO	-30	35786	35788	2.372085300187395E-5	0	1436.11	6100	2018-03-05T23:00:00Z	15	Space Systems/Loral	USA	Cape Canaveral	Falcon 9	Forty Ku-band, 10 C-band, 7 Ka-band transponders.
Hispasat 36W-1 (Hispasat AG1)	Hispasat 36W-1	Spain	Hispasat	Commercial	Communications		GEO	-36.9	35783	35791	9.48834120074958E-5	0	1436.1	3220	2017-01-27T23:00:00Z	15	OHB System-AG	Germany	Guiana Space Center	Soyuz	First GEO satellite built in Germany in 20 years.
HJ-1A (Huan Jing 1A)	HJ-1A	China	National Remote Sensing Center (NRSCC)	Government	Earth Observation	Optical Imaging	LEO	0	628	665	0.0026366422005273285	97.8	97.7	470	2008-09-04T22:00:00Z	3	China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.	China	Taiyuan Launch Center	Long March 2C	Monitors environment and natural disasters.
HJ-1B (Huan Jing 1B)	HJ-1B	China	National Remote Sensing Center (NRSCC)	Government	Earth Observation	Optical Imaging	LEO	0	621	673	0.003705287159754881	97.8	97.7	470	2008-09-04T22:00:00Z	3	China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.	China	Taiyuan Launch Center	Long March 2C	Monitors environment and natural disasters.
HJ-2A (Huan Jing-2A)	HJ-2A	China	China Centre for Resources Satellite Data and Application (CRESDA)	Government	Earth Observation		LEO	0	602	653	0.0036441586280814577	97.9	95		2020-09-26T22:00:00Z		China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.	China	Taiyuan Launch Center	Long March 4B	Will replace HJ-1 and HJ-2 launched in 2008.
HJ-2B (Huan Jing-2B)	HJ-2B	China	China Centre for Resources Satellite Data and Application (CRESDA)	Government	Earth Observation		LEO	0	598	654	0.004002287021154946	97.9	95		2020-09-26T22:00:00Z		China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.	China	Taiyuan Launch Center	Long March 4B	
Hodoyoshi-3	Hodoyoshi-3	Japan	University of Tokyo and NESTRA	Government	Technology Development		LEO	0	613	666	0.0037805834938298023	97.98	97.51	60	2014-06-18T22:00:00Z		University of Tokyo	Japan	Dombarovsky Air Base	Dnepr	Accelerate the technology development and practical utilization of micro/nano-satellites.
Hodoyoshi-4	Hodoyoshi-4	Japan	University of Tokyo and NESTRA	Government	Technology Development		LEO	0	613	650	0.0026422909376562164	97.99	97.35	60	2014-06-18T22:00:00Z		University of Tokyo	Japan	Dombarovsky Air Base	Dnepr	
Hongtu 1-01	Hongtu 1-01	Australia	PIESAT	Commercial	Earth Observation	Radar Imaging	LEO	0	499	512	9.453857901243546E-4	97.4	95	320	2023-03-29T22:00:00Z		YINHE	China	Taiyuan Launch Center	Long March 2D	
Hongtu 1-02	Hongtu 1-02	Australia	PIESAT	Commercial	Earth Observation	Radar Imaging	LEO	0				97.4	95	270	2023-03-29T22:00:00Z		YINHE	China	Taiyuan Launch Center	Long March 2D	
Hongtu 1-03	Hongtu 1-03	Australia	PIESAT	Commercial	Earth Observation	Radar Imaging	LEO	0				97.4	95	270	2023-03-29T22:00:00Z		YINHE	China	Taiyuan Launch Center	Long March 2D	
Hongtu 1-04	Hongtu 1-04	Australia	PIESAT	Commercial	Earth Observation	Radar Imaging	LEO	0				97.4	95	270	2023-03-29T22:00:00Z		YINHE	China	Taiyuan Launch Center	Long March 2D	
Hongyan-1 (Chongqing)	Hongyan-1	China	China Aerospace Science and Technology Corporation (CASC)	Government	Communications		LEO	0	1090	1098	5.359056806002144E-4	50	107.1		2018-12-28T23:00:00Z		China Aerospace Science and Technology Corp. (CASC)	China	Jiuquan Satellite Launch Center	Long March 2D	Planned LEO communications constellation. Will test L-band and Ka-band communications technologies in orbit.
Hongyun-1 (Hongyun Gongcheng JYW)	Hongyun-1	China	China Aerospace Science and Industry Corporation (CASIC)	Commercial	Technology Development		LEO	0	1061	1077	0.001075413362011023	99.92	106.59		2018-12-20T23:00:00Z		China Aerospace Science and Industry Corporation (CASIC)	China	Jiuquan Satellite Launch Center	Long March 11	First of a planned broadband constellation of 156 satellites. This satellite will verify technologies.
Horizons 2	Horizons 2	USA/Japan	Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)	Commercial	Communications		GEO	85	35777	35796	2.2535077627412143E-4	0	1436.1	2300	2007-12-20T23:00:00Z	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5	Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.
Horizons 3e	Horizons 3e	USA/Japan	Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)	Commercial	Communications		GEO	169	35789	35798	1.0672738268881852E-4	0	1436.1	6500	2018-09-24T22:00:00Z	15	Boeing Corp.	USA	Guiana Space Center	Ariane 5 ECA	Aeronautical and maritime mobility services in Pacific Northwest and North America.
Horus 1 (Helusi-1)	Horus-1	Egypt	Egyptian Space Agency	Government	Earth Observation	Remote Sensing	LEO	0	497	508	8.002910149145144E-4	97.5	94.5	330	2023-02-23T23:00:00Z		DFH Satellite Co. Ltd.	China	Jiuquan Satellite Launch Center	Long March 2	Remote sensing function.
Horus-2 (Helusi-2)	Horus-2	Egypt	Egyptian Space Agency	Government	Earth Observation	Remote Sensing	LEO	0	488	502	0.0010196649672250546	97.5	94.5	330	2023-03-12T23:00:00Z		DFH Satellite Co. Ltd.	China	Jiuquan Satellite Launch Center	Long March 2	Remote sensing function.
Horyu-2 (High Voltage Technology Demonstration Satellite-2)	Horyu-2	Japan	Kyushu Institute of Technology (KIT)	Civil	Technology Development		LEO	0	650	669	0.0013514474713706523	98.2	97.9	7	2012-05-16T22:00:00Z	1	Kyushu Institute of Technology (KIT)	Japan	Tanegashima Space Center	H2A	To test an experimental high-voltage solar array system and observe spacecraft charging effects caused by it; also provide ground communication for junior/senor high school students as amateur radio.
HSAT-1	HSAT-1	USA	Harris Corporation	Commercial	Communications		LEO	0	476	500	0.0017497812773403325	97.4	95	4	2018-11-28T23:00:00Z		Harris Corporation	USA	Satish Dhawan Space Centre	PSLV	Test deployable antenna design for potential use on future smallsats.
Huangpu-1	Huangpu-1	China	Shanghai Lizheng Satellite Application Technology	Commercial	Communications		LEO	0	485	504	0.0013839318231480807	97.5	94.5	50	2019-11-02T23:00:00Z		Shanghai Lizheng Satellite Application Technology	China	Taiyuan Launch Center	Long March 4B	First of a planned 90-satellite communications constellation
Huanjing Jianzai 02-05	Huanjing Jianzai 02-05	China	Ministry of Ecology and Environment/Ministry of Emergency Management	Government	Earth Observation		LEO	0	496	762	0.01900271467352479	97.6	94.5	1000	2022-10-11T22:00:00Z		Shenzhen Aerospace Dongfanghong Satellite Ltd. (CASC)	China	Taiyuan Launch Center	Long March 2C	
Hubble Space Telescope (HST, Space Telescope)	Hubble Space Telescope	ESA	European Space Agency (ESA)/NASA	Government	Space Science		LEO	0	555	559	2.8872527789807997E-4	28.5	95.8	11110	1990-04-24T22:00:00Z	10	European Space Agency/NASA	International	Cape Canaveral	Space Shuttle (STS 31)	Exploration of space.
Huia'an (Zhou Enlai)	Huia'an	China	Huaian Youth Comprehensive Development Base	Civil	Technology Development		LEO	0	529	547	0.0013028372900984366	97.5	95.4	2	2018-01-17T23:00:00Z		Huaian Youth Comprehensive Development Base	China	Jiuquan Satellite Launch Center	Long March 11	Student education.
Huygens (MilSpace 2-2)	Huygens	Norway	Norwegian Defence Research Establishment (FFI)/	Military	Earth Observation	Radar Surveillance	LEO	0	516	536	0.0014501160092807424	97.5	95.4	10	2023-01-02T23:00:00Z		Norwegian Defence Research Establishment (FFI)/Netherlands NLR, TNO)	Norway/Netherlands	Cape Canaveral	Falcon 9	Joint venture between Norway and the Netherlands. Detection of radar.
HXMT (Hard X-ray Modulation Telescope, Insight)	HXMT	China	National Space Science Center (NSSC)	Government	Space Science		LEO	0	536	545	6.511829824180595E-4	43.02	95.4	2500	2017-06-14T22:00:00Z	4	National Space Science Center (NSSC)	China	Jiuquan Satellite Launch Center	Long March 4B	Carries three x-ray telescopes observing at energies ranging from 20 to 200 kilo-electron volts as well as an instrument to monitor the space environment.
HYLAS 1 (Highly Adaptable Satellite)	HYLAS 1	United Kingdom	Avanti Communications, PLC	Commercial	Communications		GEO	-33.5	35770	35803	3.9139871668663197E-4	0.01	1436.07	2242	2010-11-25T23:00:00Z	15	EADS Astrium	France	Guiana Space Center	Ariane 5	Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means
HYLAS 2 (Highly Adaptable Satellite)	HYLAS 2	United Kingdom	Avanti Communications, PLC	Commercial	Communications		GEO	33.5	35775	35799	2.8465023602248737E-4	0.06	1436.14	3311	2012-08-01T22:00:00Z	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	24 fixed beams and one steerable beam, pioneering Ka-band technology. High speed data capacity across southern and Eastern Africa, the Middle East and the Caucasus.
HYLAS 4 (Highly Adaptable Satellite)	HYLAS 4	United Kingdom	Avanti Communications, PLC	Commercial	Communications		GEO	21.27	35778	35795	2.0162964192947707E-4	0	1436.1	4050	2018-04-04T22:00:00Z	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5	High speed broadcast service.
