Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Advanced Orion 7 (Mentor, NRO L-32, USA 223)	USA 223	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	95	35500	35500	0	0	1436	5000	2010-11-20T23:00:00Z		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	ELINT.
Advanced Orion 8 (Mentor, NRO L-15, USA 237)	USA 237	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	60	35771	35805	4.032449357180132E-4	0	1436.1	5000	2012-06-28T22:00:00Z		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	ELINT.
Advanced Orion 9 (Mentor, NRO L-37, USA 268)	USA 268	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	102.6	35613	35903	0.003441891378655526	7.51	1437.19	5000	2016-06-10T22:00:00Z		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	ELINT.
AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)	USA 246	USA	US Air Force	Military	Communications		GEO	152.1	35700	35803	0.0012226535142385718	4.2	1436.1	6169	2013-09-17T22:00:00Z	14	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	Third in constellation.
AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)	USA 288	USA	US Air Force	Military	Communications		GEO	150.2	35781	35790	1.0674763672593138E-4	0.05	1436.1	6169	2018-10-16T22:00:00Z		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	
AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)	USA 292	USA	US Air Force	Military	Communications		GEO	-94.39	35780	35810	3.557452863749555E-4	6.4	1436.2	6169	2019-08-07T22:00:00Z		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	
AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)	USA 298	USA	US Air Force	Military	Communications		GEO	0	35780	35780	0	0	1436	6169	2020-03-25T23:00:00Z		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	
AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)	USA 235	USA	US Air Force	Military	Communications		GEO	-120	35772	35801	3.4395644799734324E-4	2.34	1436.1	6169	2012-05-02T22:00:00Z	14	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	Second in constellation.
Aeneas	Aeneas	USA	Department of Homeland Security	Government	Technology Development		LEO	0	480	790	0.02212705210563883	0.02	97.4	3	2012-09-12T22:00:00Z		University of Southern California	USA	Vandenberg AFB	Atlas 5	Demonstration program to track cargo containers worldwide.
Aeolus	Aeolus	ESA	European Space Agency (ESA)	Government	Earth Observation	Earth Science	LEO	0	314	317	2.243661655822302E-4	96.7	92.4	1367	2018-08-21T22:00:00Z	3	Airbus Defense and Space	France/UK/Germany/Spain	Guiana Space Center	Vega	Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.
